사업장명,좌표정보(Y),좌표정보(X),위생업태명
청계다방,437959.9611,204895.5163,커피숍
스노우화이트,451789.6689,193976.297,커피숍
오늘도 커피,443192.5647,199125.4289,커피숍
바로미카페,443867.1726,200939.2628,커피숍
카페모퉁이,446910.5408,191687.4929,커피숍
(주)제이에스파이브 카페리또,450837.0517,194798.4584,커피숍
제이 앤드 제이,454899.401,195425.2847,커피숍
아린 카페,453280.995,193301.7996,커피숍
소울(Soul) 36.6,441302.1119,189778.7745,커피숍
피자EPP 구로가산점,441702.5405,190284.1549,커피숍
벨라지오,445151.4976,196531.1719,커피숍
까페컴온(cafe come on),445405.318,201621.4273,커피숍
매머드 익스프레스 한라원앤원타워점,441654.4846,189282.6422,커피숍
카페뉴트리(CAFE NEW TREE),446582.9917,190888.1515,커피숍
자영키친,447908.859,199656.5206,커피숍
에프앤비,446322.7146,191614.6861,커피숍
메가엠지씨커피 서울온수초교점,443457.2334,184440.221,커피숍
스타벅스 신사2점,445710.12,201664.3586,커피숍
미스터커피,444683.2205,200250.4478,커피숍
카페오소,447602.7888,185630.5803,커피숍
공차목동오목교역점,446994.4041,188688.8796,커피숍
삼성에스디에스×폴바셋(SAMSUNG SDS×PAUL BASSETT),453407.0614,189965.528,커피숍
바나타이거 북가좌점,453393.4734,192780.6592,커피숍
패드 커피(FAD COFFEE),440355.9766,201812.413,커피숍
바샤커피 청담점,447157.3272,203826.265,커피숍
SAMSUNG SDS x PAUL BASSETT,446048.26,208883.0888,커피숍
카페레오,457718.1184,192822.5025,커피숍
오우야 에스프레소바,443969.7725,199284.5385,커피숍
도깨비커피 (Coffee Monster),462535.9835,203005.6366,커피숍
눅 Nook,449083.3069,195766.5881,커피숍
하삼동 커피 전문점,439071.3744,191119.2972,커피숍
라스팔마스,446135.935,187007.685,커피숍
제나나(ZENANA),451871.5877,193638.4212,커피숍
커피박스,443051.2722,202835.9242,커피숍
메가엠지씨커피 서대문역점,451670.5142,196828.8296,커피숍
카페104,440014.8202,204453.5366,커피숍
샌드랑,440676.3799,203392.7935,커피숍
삼성SDS×폴바셋 SAMSUNG SDS×PAUL BASSETT Speed Order,446048.26,208883.0888,커피숍
커피소,451999.8601,199467.8886,커피숍
쉐어티코리아,444811.3648,200554.744,커피숍
?앤플랫,443651.5374,201136.2318,커피숍
그라츠 커피랩 반포점,444873.4378,200367.5886,커피숍
자이소,447480.0396,196762.0774,떡카페
스타벅스오목교역,446909.3659,188431.2863,커피숍
Fruits(푸루츠),442572.9001,202796.0887,커피숍
로즈버드,441982.4279,189538.0209,커피숍
"카페,사랑하는",443101.5997,201808.2867,커피숍
노브랜드버거 건대점,449114.9588,206097.8191,패스트푸드
블루포트 중앙대학교301호점,444705.5302,196122.6786,커피숍
우지커피 아차산역점,450032.351,207924.3582,커피숍
티미커피(TiMi coffee),445992.3291,203770.3842,커피숍
메가엠지씨커피 목동트라팰리스점,447066.0427,188398.4465,커피숍
동방미인,443873.6212,204669.5434,떡카페
롯데리아 마포역점,448540.4349,195258.4665,패스트푸드
스탠브루 마포역점,448540.4349,195258.4665,커피숍
삼매경,451421.718,193011.8684,커피숍
스윗띵즈,442704.9966,194445.1036,커피숍
메가엠지씨커피 신길성애병원점,445512.936,193006.7892,커피숍
떠기다방 신도림점,444879.2728,190082.9291,커피숍
찬란과일 송파가락점,443178.7795,210623.5987,커피숍
더벤티 보문역점,453555.0496,201670.5501,커피숍
우지커피 올림픽북문점,446930.3794,211324.0228,커피숍
일로커피 청사관,451160.4092,195806.7327,커피숍
피앤드위시(a.t.s.r),447430.1003,197011.7375,커피숍
정중심 커피공장,454111.7851,208337.3178,커피숍
카페테바,451050.1771,197041.5564,커피숍
매머드 익스프레스 가산더스카이밸리 1차점,441801.1351,189603.2229,커피숍
(주)디케이앤글로벌 키위요카페(KIWIYO CAFE)가산점,442093.3105,189262.8633,커피숍
이상,446482.5553,186133.0275,커피숍
모네의정원,447142.7417,190487.7844,커피숍
